                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.51948,                0.52997,                0.28364,                0.77042,                0.99694,                0.99633,                0.99497,                0.81489,                0.96599,                 0.9653,                0.96574,                0.50867,                0.76047,                 1.2303,                0.31824,                0.79516,             0.00022847,             0.00022847,             0.00022847
                     73,                0.51342,                0.51905,                0.28027,                0.76999,                0.99765,                0.99695,                0.99499,                0.81308,                0.96667,                0.96491,                0.96444,                0.50262,                0.76337,                 1.2469,                0.31805,                0.79545,             0.00022086,             0.00022086,             0.00022086
                     74,                0.51348,                0.53188,                0.28017,                0.77042,                0.99835,                0.99669,                0.99499,                0.81303,                0.96771,                0.96582,                0.96513,                0.50173,                  0.768,                 1.2707,                0.31817,                0.79557,             0.00021324,             0.00021324,             0.00021324
                     75,                0.51454,                0.52807,                0.27928,                0.76989,                0.99775,                0.99668,                0.99499,                0.81274,                0.96533,                0.96389,                0.96292,                0.50346,                0.76675,                  1.276,                0.31888,                0.79549,             0.00020563,             0.00020563,             0.00020563
                     76,                0.50753,                0.52167,                0.27613,                 0.7702,                 0.9981,                0.99688,                0.99499,                0.81233,                0.96904,                0.96405,                 0.9651,                0.49965,                0.76687,                 1.2818,                0.31733,                0.79484,             0.00019802,             0.00019802,             0.00019802
                     77,                0.50934,                0.52402,                0.27888,                0.77026,                0.99854,                 0.9971,                0.99499,                0.81423,                0.96622,                0.96448,                0.96422,                0.50597,                0.75993,                 1.2511,                0.31522,                0.79466,              0.0001904,              0.0001904,              0.0001904
                     78,                0.50957,                0.52394,                0.27694,                0.76953,                0.99805,                0.99711,                0.99499,                0.81294,                0.96696,                0.96609,                0.96453,                0.50739,                0.76162,                 1.2367,                0.31508,                0.79473,             0.00018279,             0.00018279,             0.00018279
                     79,                0.50339,                0.51366,                0.27341,                0.76994,                0.99835,                0.99715,                  0.995,                0.81608,                0.96816,                0.96687,                0.96605,                0.50824,                0.75747,                 1.2497,                 0.3155,                0.79435,             0.00017518,             0.00017518,             0.00017518
                     80,                0.50626,                0.52161,                0.27547,                 0.7695,                0.99745,                0.99774,                  0.995,                 0.8154,                0.96439,                0.96453,                0.96328,                0.50474,                0.75744,                 1.2457,                 0.3132,                0.79471,             0.00016757,             0.00016757,             0.00016757
                     81,                0.50681,                0.52181,                0.27312,                0.76956,                0.99769,                0.99684,                  0.995,                0.81547,                0.96598,                 0.9651,                 0.9645,                0.50601,                0.75878,                 1.2506,                0.31365,                0.79456,             0.00015995,             0.00015995,             0.00015995
                     82,                0.50936,                0.51645,                0.27446,                0.76977,                0.99801,                 0.9977,                  0.995,                0.81547,                0.96432,                0.96396,                 0.9636,                0.50516,                0.76072,                 1.2805,                0.31385,                0.79468,             0.00015234,             0.00015234,             0.00015234
                     83,                0.49824,                0.51336,                0.26994,                0.76977,                0.99829,                0.99816,                  0.995,                0.81399,                 0.9635,                 0.9633,                0.96169,                0.50515,                0.76078,                 1.2537,                 0.3146,                0.79463,             0.00014473,             0.00014473,             0.00014473
                     84,                0.49904,                0.51486,                0.27003,                0.76994,                0.99814,                0.99823,                  0.995,                0.81647,                0.96773,                0.96597,                0.96511,                0.51045,                0.75587,                 1.2294,                0.31403,                0.79438,             0.00013711,             0.00013711,             0.00013711
                     85,                0.49995,                0.51399,                0.27024,                0.76862,                0.99692,                0.99606,                  0.995,                0.81457,                0.96565,                0.96323,                0.96493,                0.50727,                0.76097,                 1.2534,                0.31583,                0.79451,              0.0001295,              0.0001295,              0.0001295
                     86,                0.49588,                0.51402,                0.26846,                0.77015,                0.99727,                0.99625,                  0.995,                0.81427,                0.96579,                0.96477,                0.96529,                0.50963,                0.75982,                 1.2297,                 0.3155,                0.79449,             0.00012189,             0.00012189,             0.00012189
                     87,                0.49472,                0.51159,                0.26761,                0.76938,                0.99817,                0.99733,                  0.995,                0.81685,                0.96837,                0.96594,                0.96651,                0.51054,                0.75361,                 1.2231,                0.31222,                0.79431,             0.00011427,             0.00011427,             0.00011427
